location_name,QAQC,event_year,event_name_calc,Module,Direction,Spherical_Densiometer_Tally
MACA008,-1,2016,MACA008Q,4,S,85
MACA008,-1,2016,MACA008Q,4,N,88
MACA008,-1,2016,MACA008Q,1,N,89
MACA008,-1,2016,MACA008Q,3,W,89
MACA008,-1,2016,MACA008Q,2,W,82
MACA008,-1,2016,MACA008Q,2,E,79
MACA008,-1,2016,MACA008Q,2,S,77
MACA008,-1,2016,MACA008Q,3,E,69
MACA008,0,2016,MACA008,3,W,88
MACA008,0,2016,MACA008,3,E,83
MACA008,0,2016,MACA008,2,N,78
MACA008,0,2016,MACA008,4,W,83
MACA008,0,2016,MACA008,1,S,81
MACA008,0,2016,MACA008,2,E,82
MACA008,0,2016,MACA008,1,E,88
MACA008,0,2016,MACA008,2,W,84
MACA008,0,2016,MACA008,2,S,85
MACA008,0,2016,MACA008,4,S,76
MACA008,0,2016,MACA008,1,W,79
MACA008,0,2016,MACA008,4,N,92
MACA008,0,2016,MACA008,3,N,75
MACA008,0,2016,MACA008,1,N,89
MACA008,0,2016,MACA008,4,E,87
MACA008,0,2016,MACA008,3,S,86
MACA047,-1,2015,MACA047Q,2,N,88
MACA047,-1,2015,MACA047Q,2,E,87
MACA047,-1,2015,MACA047Q,1,E,88
MACA047,-1,2015,MACA047Q,2,W,89
MACA047,-1,2015,MACA047Q,1,N,86
MACA047,-1,2015,MACA047Q,4,S,91
MACA047,-1,2015,MACA047Q,3,W,89
MACA047,-1,2015,MACA047Q,3,N,82
MACA047,-1,2015,MACA047Q,4,N,87
MACA047,-1,2015,MACA047Q,3,S,90
MACA047,-1,2015,MACA047Q,2,S,92
MACA047,-1,2015,MACA047Q,4,W,90
MACA047,-1,2015,MACA047Q,1,S,89
MACA047,-1,2015,MACA047Q,1,W,83
MACA047,-1,2015,MACA047Q,4,E,87
MACA047,-1,2015,MACA047Q,3,E,78
MACA047,0,2015,MACA047,1,S,89
MACA047,0,2015,MACA047,2,S,84
MACA047,0,2015,MACA047,3,S,89
MACA047,0,2015,MACA047,4,N,88
MACA047,0,2015,MACA047,1,E,85
MACA047,0,2015,MACA047,3,W,85
MACA047,0,2015,MACA047,4,S,85
MACA047,0,2015,MACA047,2,N,83
MACA047,0,2015,MACA047,2,W,88
MACA047,0,2015,MACA047,1,W,87
MACA047,0,2015,MACA047,4,W,89
MACA047,0,2015,MACA047,2,E,80
MACA047,0,2015,MACA047,3,E,76
MACA047,0,2015,MACA047,3,N,85
MACA047,0,2015,MACA047,1,N,87
MACA047,0,2015,MACA047,4,E,82
MACA058,0,2016,MACA058,3,S,83
MACA058,0,2016,MACA058,3,N,87
MACA058,0,2016,MACA058,1,N,84
MACA058,0,2016,MACA058,4,S,90
MACA058,0,2016,MACA058,3,E,90
MACA058,0,2016,MACA058,1,W,89
MACA058,0,2016,MACA058,4,E,89
MACA058,0,2016,MACA058,4,N,89
MACA058,0,2016,MACA058,2,S,82
MACA058,0,2016,MACA058,1,S,74
MACA058,0,2016,MACA058,3,W,92
MACA058,0,2016,MACA058,2,N,88
MACA058,0,2016,MACA058,1,E,80
MACA058,0,2016,MACA058,2,W,76
MACA058,0,2016,MACA058,4,W,85
MACA058,0,2016,MACA058,2,E,90
MACA058,-1,2016,MACA058Q,3,N,93
MACA058,-1,2016,MACA058Q,3,E,90
MACA058,-1,2016,MACA058Q,4,N,87
MACA058,-1,2016,MACA058Q,2,S,89
MACA058,-1,2016,MACA058Q,4,E,89
MACA058,-1,2016,MACA058Q,1,W,82
MACA058,-1,2016,MACA058Q,2,E,94
MACA058,-1,2016,MACA058Q,1,E,91
MACA058,-1,2016,MACA058Q,4,W,89
MACA058,-1,2016,MACA058Q,2,N,92
MACA058,-1,2016,MACA058Q,1,N,85
MACA058,-1,2016,MACA058Q,4,S,91
MACA058,-1,2016,MACA058Q,3,S,86
MACA058,-1,2016,MACA058Q,1,S,81
MACA058,-1,2016,MACA058Q,2,W,80
MACA058,-1,2016,MACA058Q,3,W,89
LOOK007,-1,2012,LOOK007Q,3,E,82
LOOK007,-1,2012,LOOK007Q,1,S,88
LOOK007,-1,2012,LOOK007Q,1,N,88
LOOK007,-1,2012,LOOK007Q,4,N,89
LOOK007,-1,2012,LOOK007Q,1,E,86
LOOK007,-1,2012,LOOK007Q,2,N,79
LOOK007,-1,2012,LOOK007Q,2,W,73
LOOK007,-1,2012,LOOK007Q,4,S,88
LOOK007,-1,2012,LOOK007Q,3,N,82
LOOK007,-1,2012,LOOK007Q,4,E,92
LOOK007,-1,2012,LOOK007Q,1,W,89
LOOK007,-1,2012,LOOK007Q,3,S,85
LOOK007,-1,2012,LOOK007Q,4,W,87
LOOK007,-1,2012,LOOK007Q,2,S,76
LOOK007,-1,2012,LOOK007Q,2,E,79
LOOK007,-1,2012,LOOK007Q,3,W,85
LOOK007,0,2012,LOOK007,4,N,81
LOOK007,0,2012,LOOK007,2,N,89
LOOK007,0,2012,LOOK007,1,S,87
LOOK007,0,2012,LOOK007,2,W,85
LOOK007,0,2012,LOOK007,3,E,89
LOOK007,0,2012,LOOK007,4,W,89
LOOK007,0,2012,LOOK007,3,W,86
LOOK007,0,2012,LOOK007,4,S,92
LOOK007,0,2012,LOOK007,2,S,81
LOOK007,0,2012,LOOK007,1,E,90
LOOK007,0,2012,LOOK007,1,N,91
LOOK007,0,2012,LOOK007,3,S,91
LOOK007,0,2012,LOOK007,2,E,88
LOOK007,0,2012,LOOK007,1,W,88
LOOK007,0,2012,LOOK007,4,E,88
LOOK007,0,2012,LOOK007,3,N,91
MACA053,0,2015,MACA053,1,W,88
MACA053,0,2015,MACA053,2,N,92
MACA053,0,2015,MACA053,3,S,85
MACA053,0,2015,MACA053,2,S,92
MACA053,0,2015,MACA053,3,E,89
MACA053,0,2015,MACA053,2,E,85
MACA053,0,2015,MACA053,4,E,88
MACA053,0,2015,MACA053,1,S,87
MACA053,0,2015,MACA053,1,N,84
MACA053,0,2015,MACA053,3,N,87
MACA053,0,2015,MACA053,4,S,86
MACA053,0,2015,MACA053,4,W,86
MACA053,0,2015,MACA053,2,W,95
MACA053,0,2015,MACA053,1,E,85
MACA053,0,2015,MACA053,3,W,90
MACA053,0,2015,MACA053,4,N,88
MACA053,-1,2015,MACA053Q,3,W,94
MACA053,-1,2015,MACA053Q,2,S,95
MACA053,-1,2015,MACA053Q,4,N,92
MACA053,-1,2015,MACA053Q,4,W,90
MACA053,-1,2015,MACA053Q,3,S,91
MACA053,-1,2015,MACA053Q,3,E,90
MACA053,-1,2015,MACA053Q,1,S,91
MACA053,-1,2015,MACA053Q,1,W,87
MACA053,-1,2015,MACA053Q,2,N,92
MACA053,-1,2015,MACA053Q,1,N,85
MACA053,-1,2015,MACA053Q,4,E,91
MACA053,-1,2015,MACA053Q,2,E,89
MACA053,-1,2015,MACA053Q,4,S,90
MACA053,-1,2015,MACA053Q,1,E,84
MACA053,-1,2015,MACA053Q,3,N,92
MACA053,-1,2015,MACA053Q,2,W,95
GUCO009,0,2011,GUCO009,3,N,84
GUCO009,0,2011,GUCO009,3,E,90
GUCO009,0,2011,GUCO009,2,E,85
GUCO009,0,2011,GUCO009,4,W,86
GUCO009,0,2011,GUCO009,1,N,89
GUCO009,0,2011,GUCO009,2,W,87
GUCO009,0,2011,GUCO009,4,E,87
GUCO009,0,2011,GUCO009,1,W,89
GUCO009,0,2011,GUCO009,2,S,90
GUCO009,0,2011,GUCO009,1,S,92
