"Event_ID","UnitCode","SubunitCode","panel_init_year","panel_label","avgPlotCWDVol","cwdPercentOfLiveVol","CEGL"
"{000CA06A-58DA-455F-9DCF-40BE4EA539C5}","SHIL","SHIL",2011,"2011-2013",8.12259628206584,2.70980572362997,"CEGL007246"
"{011FBFBA-7F1F-4F10-B304-605C8F932BD1}","MACA","MACA",2011,"2011-2013",2.69171028505473,1.39563252240978,"CEGL005131"
"{015E0434-5E1F-43D8-BFC4-A6AC08A3C0CA}","ABLI","BIRT",2011,"2011-2012",17.5581428908152,2.56127477434805,"CEGL007220"
"{020A733C-04C1-4DC0-AAE9-11F725023F5B}","CARL","CARL",2016,"2016-2018",16.7320636729835,4.38105389727308,"CEGL007267"
"{0291F050-0151-4EC7-90DD-41C4087C0499}","COWP","COWP",2011,"2011-2013",19.4693367623425,5.08616249596057,"CEGL007244"
"{02F841FF-EE38-4884-A9EE-8CAEFF0E225C}","FODO","DONE",2011,"2011-2013",0,0,"CEGL002070"
"{030D6A9E-CD37-4D20-A22B-157E54FAB7EE}","LIRI","LIRI",2011,"2011-2013",18.7368270623732,7.59332372654417,"CEGL007244"
"{030FBECA-BEFD-4D29-B972-DA9F32E0A986}","KIMO","KIMO",2016,"2016-2018",35.9777922111248,10.2252716464068,"CEGL004418"
"{0312D7F5-A493-4B27-9522-3A57FF4B1A34}","RUCA","RUCA",2011,"2011-2013",35.7618946153444,10.7369973757163,"CEGL007233"
"{03243396-6A3F-441E-A3D7-930AD0A0DDDC}","LIRI","LIRI",2016,"2016-2018",33.3407572912353,15.244525338882,"CEGL008430"
"{04E57768-7CB0-4F67-AE1B-55927DFEFF1A}","RUCA","RUCA",2016,"2016-2018",28.4599295009133,7.51397964442209,"CEGL008431"
"{0576908D-D9AD-4CE5-8188-5EEFD28A037B}","CHCH","CHIC",2011,"2011-2013",43.8619097713209,21.9415969911983,"CEGL007699"
"{05D29808-9FCC-4C6C-9954-A1E6B0CCE432}","STRI","STRI",2016,"2016-2018",38.6456696446973,32.7231823796453,"CEGL007699"
"{07AC476C-A1AC-4354-9AA3-F05CB7972C56}","STRI","STRI",2011,"2011-2013",22.0832397969699,8.93012391836333,"CEGL007699"
"{086DF071-7B53-4AAC-B398-C78476AD8E48}","SHIL","SHIL",2016,"2016-2018",18.7522483192147,3.26765535391689,"CEGL007216"
"{08BCA74D-D44B-4F6D-9709-2050A237FAED}","CHCH","LOOK",2011,"2011-2014",12.3370054731675,4.32075320410883,"CEGL007330"
"{08F90BCE-DF83-4796-9DA9-4023E30C8594}","RUCA","RUCA",2011,"2011-2013",10.6252459637655,5.26996076752651,"CEGL008442"
"{095EC630-E05E-4FA4-B1AB-7C3FC9701FF2}","STRI","STRI",2016,"2016-2018",9.71539181011943,19.0585097709362,"CEGL003938"
"{0ADF7F39-A9EA-4F89-8A34-F50E268CD1D0}","RUCA","RUCA",2016,"2016-2018",3.98253957930689,1.2779779466975,"CEGL007268"
"{0B298B64-2215-43E5-A2ED-19DB82DE9DA8}","CARL","CARL",2011,"2011-2013",14.8429597099047,16.1961705177737,"CEGL006271"
"{0BE7EBED-E888-4AFB-9A6E-41DEF0590C81}","STRI","STRI",2016,"2016-2018",4.00952677877945,1.39521877466102,"CEGL007124"
"{0C0CA7DC-3126-4C49-A1D3-CE2289981F3B}","LIRI","LIRI",2011,"2011-2013",3.22304267986502,1.01773138582234,"CEGL008431"
"{0C4B5792-083B-4C7A-BEC4-2F102803BCDD}","MACA","MACA",2011,"2011-2013",27.0180419862369,5.34200458762076,"CEGL008442"
"{0C8AB79A-6B7C-4AA5-AA26-B88214D150F2}","LIRI","LIRI",2011,"2011-2013",57.9839257238874,32.6327099950273,"CEGL007500"
"{0CBE8039-50EB-4D03-A463-136E6239F199}","CHCH","CHIC",2011,"2011-2013",44.0893733097325,23.0837977937322,"CEGL007247"
"{0CEDDF2D-AD17-4E49-B55B-87F208A8AEAD}","MACA","MACA",2011,"2011-2013",51.3219427683769,11.4875363013879,"CEGL005018"
"{0D1F00B9-6A4D-4D85-AFDB-9B248E609C18}","ABLI","KNOB",2011,"2011-2013",37.9208705731487,17.0273059435072,"CEGL002411"
"{0D2FF3F3-554B-486D-8EBE-B5AE69367154}","CHCH","LOOK",2016,"2016-2018",40.5270629793553,14.9189290243188,"CEGL007700"
"{0E0A2123-72E8-4CB8-ABCB-22FA643CFA4D}","SHIL","SHIL",2016,"2016-2018",0.867445697332092,0.462219334298239,"CEGL007246"
"{0E570ADF-85CD-46B1-918E-D6CAF823B068}","MACA","MACA",2016,"2016-2018",18.4438231823855,6.63201837625953,"CEGL008442"
"{0EC9027B-86C6-4E5C-9CEC-069E031AD414}","NISI","NISI",2016,"2016-2018",25.5992863568226,12.6602517461691,"CEGL008462"
"{0F48FF06-C0DA-4695-855D-9DF779C9189D}","STRI","STRI",2016,"2016-2018",124.673150934779,30.8295679099852,"CEGL007808"
"{0F6AEE52-9730-4D64-8ADC-AA7B20DAF428}","MACA","MACA",2011,"2011-2013",2.22066098517016,1.05272557771539,"CEGL004133"
"{0F953CEB-F7EA-4801-99CB-BB3D1D06C504}","NISI","NISI",2016,"2016-2018",52.7908174825259,8.27375394214652,"CEGL008462"
"{1013A9FD-F7BD-4C9F-B410-FBCB7FE07E5B}","LIRI","LIRI",2016,"2016-2018",16.7012211593005,5.35768587797619,"CEGL008431"
"{1074D859-E1C5-4E9E-9CC2-E394F876C1E4}","COWP","COWP",2016,"2016-2018",55.4394183450466,39.8091869580619,"CEGL007244"
