Park,SubPark,CEGL,community name,CommunityAlliance,CommunityGroup,CommunityMacroGroup,"Count of plots in subpark, this cegl",gp1,gp2,MP comment
KIMO,KIMO,CEGL007493,"Pinus echinata - Quercus (montana, falcata) / Oxydendrum arboreum / Vaccinium pallidum Forest",A3269 Shortleaf Pine - Table Mountain Pine - Chestnut Oak Appalachian Woodland Alliance AKA Pinus echinata - Pinus pungens - Quercus prinus Appalachian Woodland Alliance,G012 Shortleaf Pine - Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,2,Pine / Oak-pine,Pine / Oak-pine,
LIRI,LIRI,CEGL007493,"Pinus echinata - Quercus (montana, falcata) / Oxydendrum arboreum / Vaccinium pallidum Forest",A3269 Shortleaf Pine - Table Mountain Pine - Chestnut Oak Appalachian Woodland Alliance AKA Pinus echinata - Pinus pungens - Quercus prinus Appalachian Woodland Alliance,G012 Shortleaf Pine - Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,1,Pine / Oak-pine,Pine / Oak-pine,
LIRI,LIRI,CEGL007500,Pinus echinata - Quercus stellata - Quercus montana / Danthonia spicata Forest,A3269 Shortleaf Pine - Table Mountain Pine - Chestnut Oak Appalachian Woodland Alliance AKA Pinus echinata - Pinus pungens - Quercus prinus Appalachian Woodland Alliance,G012 Shortleaf Pine - Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,3,Pine / Oak-pine,Pine / Oak-pine,
LIRI,LIRI,CEGL008427,Pinus echinata - Quercus alba / Vaccinium pallidum / Hexastylis arifolia - Chimaphila maculata Forest,A3269 Shortleaf Pine - Table Mountain Pine - Chestnut Oak Appalachian Woodland Alliance AKA Pinus echinata - Pinus pungens - Quercus prinus Appalachian Woodland Alliance,G012 Shortleaf Pine - Oak Forest & Woodland Group,M016 Southern & South-Central Oak - Pine Forest & Woodland Macrogroup,1,Pine / Oak-pine,Pine / Oak-pine,
CHCH,LOOK,CEGL007330,Liquidambar styraciflua - (Liriodendron tulipifera) Ruderal Wet Forest,A3343 Red Maple - Tuliptree Ruderal Flooded & Swamp Forest Alliance AKA Acer rubrum - Liriodendron tulipifera Ruderal Flooded & Swamp Forest Alliance,G553 Southeastern Native Ruderal Flooded & Swamp Forest Group,M310 Southeastern North American Ruderal Flooded & Swamp Forest Macrogroup,3,Floodplain Forest,Ruderal Floodplain Forest,also ruderal
LIRI,LIRI,CEGL007546,Pinus taeda - Liriodendron tulipifera / Lindera benzoin / Carex crinita Ruderal Wet Forest,A3345 Loblolly Pine - Sweetgum Ruderal Flooded & Swamp Forest Alliance AKA Pinus taeda - Liquidambar styraciflua Ruderal Flooded & Swamp Forest Alliance,G553 Southeastern Native Ruderal Flooded & Swamp Forest Group,M310 Southeastern North American Ruderal Flooded & Swamp Forest Macrogroup,1,Floodplain Forest,Ruderal Floodplain Forest,
ABLI,KNOB,CEGL002591,Pinus virginiana Ruderal Forest,A3227 Eastern Red-cedar - Virginia Pine - Shortleaf Pine Ruderal Forest Alliance AKA Juniperus virginiana - Pinus virginiana - Pinus echinata Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,2,Ruderal Forest,Ruderal Forest,
GUCO,GUCO,CEGL002591,Pinus virginiana Ruderal Forest,A3227 Eastern Red-cedar - Virginia Pine - Shortleaf Pine Ruderal Forest Alliance AKA Juniperus virginiana - Pinus virginiana - Pinus echinata Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,6,Ruderal Forest,Ruderal Forest,
LIRI,LIRI,CEGL002591,Pinus virginiana Ruderal Forest,A3227 Eastern Red-cedar - Virginia Pine - Shortleaf Pine Ruderal Forest Alliance AKA Juniperus virginiana - Pinus virginiana - Pinus echinata Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,1,Ruderal Forest,Ruderal Forest,
MACA,MACA,CEGL002591,Pinus virginiana Ruderal Forest,A3227 Eastern Red-cedar - Virginia Pine - Shortleaf Pine Ruderal Forest Alliance AKA Juniperus virginiana - Pinus virginiana - Pinus echinata Ruderal Forest Alliance,G030 Eastern North American Native Ruderal Forest Group,M013 Eastern North American Ruderal Forest Macrogroup,2,Ruderal Forest,Ruderal Forest,
