Fire_Name,Park,Plot,Date_Plot_Established,Date_Plot_Revisited,Fire_Start_Date,NOTES
35/176BURN,LIRI,LIRI003,5/16/11,5/16/16,4/1/01,Year only
Kral's Complex,LIRI,LIRI003,5/16/11,5/16/16,5/25/05,
Field School,LIRI,LIRI003,5/16/11,5/16/16,3/11/07,
Kral's Complex Rx fire treatment,LIRI,LIRI003,5/16/11,5/16/16,4/19/08,
Kral's Complex Rx,LIRI,LIRI003,5/16/11,5/16/16,3/28/13,
Kral's Complex FY16,LIRI,LIRI003,5/16/11,5/16/16,4/9/16,
RD01-CR103,LIRI,LIRI014,5/14/12,5/17/17,4/1/02,Year only
02/103,LIRI,LIRI014,5/14/12,5/17/17,3/9/07,
South East Complex,LIRI,LIRI014,5/14/12,5/17/17,4/29/14,
Slant Rock Complex,LIRI,LIRI014,5/14/12,5/17/17,3/5/17,
02/103,LIRI,LIRI018,5/15/12,5/15/17,3/9/07,
South East Complex,LIRI,LIRI018,5/15/12,5/15/17,4/29/14,
"LIRI FY18 NE Complex North, 2018",LIRI,LIRI018,5/15/12,5/15/17,3/15/18,
02/103,LIRI,LIRI019,5/16/12,5/17/17,3/9/07,
Slant Rock Rx 2010,LIRI,LIRI019,5/16/12,5/17/17,4/6/10,
South East Complex,LIRI,LIRI019,5/16/12,5/17/17,4/29/14,
Slant Rock Complex,LIRI,LIRI019,5/16/12,5/17/17,3/5/17,
02/103,LIRI,LIRI021,5/16/12,5/15/17,3/9/07,
South East Complex,LIRI,LIRI021,5/16/12,5/15/17,4/29/14,
"LIRI NE Complex South FY18, 2018",LIRI,LIRI021,5/16/12,5/15/17,4/2/18,
South East Complex,LIRI,LIRI026,5/14/13,5/21/18,4/29/14,
"LIRI FY18 NE Complex North, 2018",LIRI,LIRI026,5/15/13,5/21/18,3/15/18,
West Hurricane Rx 2010,LIRI,LIRI029,5/16/13,5/22/18,4/1/10,
Edna Hill 2009,LIRI,LIRI030,5/14/14,,3/7/09,
35/176BURN,LIRI,LIRI033,5/14/14,,4/1/01,Year only
Kral's Complex,LIRI,LIRI033,5/14/14,,5/25/05,
Kral's Complex Rx fire treatment,LIRI,LIRI033,5/14/14,,4/19/08,
Kral's Complex Rx,LIRI,LIRI033,5/14/14,,3/28/13,
Kral's Complex FY16,LIRI,LIRI033,5/14/14,,4/9/16,
