"event_ID","panel_init_year","panel_label","Unit_Code","SubunitCode","CEGL","EventAvgGrowthDBH","EventAvgRelBAGrowth","countDied","countTotalLivingInit","Event_ba_avg","AnnualEventMortalityPercent"
"{020A733C-04C1-4DC0-AAE9-11F725023F5B}",2016,"2016-2018","CARL","CARL","CEGL007267",1.09090909090909,2.06382078372945E-02,1,11,2.65783646928516,1.81818181818182
"{030FBECA-BEFD-4D29-B972-DA9F32E0A986}",2016,"2016-2018","Kimo","KIMO","CEGL004418",0.7,7.85858500751805E-03,0,10,2.95211534329688,0
"{03243396-6A3F-441E-A3D7-930AD0A0DDDC}",2016,"2016-2018","Liri","LIRI","CEGL008430",1.66666666666667,3.13382714260005E-02,0,18,2.23175796612891,0
"{04E57768-7CB0-4F67-AE1B-55927DFEFF1A}",2016,"2016-2018","RUCA","RUCA","CEGL008431",2,2.08456939860043E-02,0,6,2.80632580938281,0
"{05D29808-9FCC-4C6C-9954-A1E6B0CCE432}",2016,"2016-2018","STRI","STRI","CEGL007699",0.714285714285714,1.82288587432818E-02,2,21,2.20353271966406,1.9047619047619
"{086DF071-7B53-4AAC-B398-C78476AD8E48}",2016,"2016-2018","SHIL","SHIL","CEGL007216",-7.40740740740741E-02,-1.81838282669117E-03,3,28,4.971570368625,2.14285714285714
"{095EC630-E05E-4FA4-B1AB-7C3FC9701FF2}",2016,"2016-2018","STRI","STRI","CEGL003938",1.2,3.56374260481577E-02,1,15,1.23135705664453,1.33333333333333
"{0ADF7F39-A9EA-4F89-8A34-F50E268CD1D0}",2016,"2016-2018","RUCA","RUCA","CEGL007268",2,2.49715127552281E-02,0,5,2.53020926787891,0
"{0BE7EBED-E888-4AFB-9A6E-41DEF0590C81}",2016,"2016-2018","STRI","STRI","CEGL007124",1,0.017628700541603,0,27,4.70698936263281,0
"{0D2FF3F3-554B-486D-8EBE-B5AE69367154}",2016,"2016-2018","CHCH","LOOK","CEGL007700",1.5,1.06058348565397E-02,0,2,2.9884400083125,0
"{0E0A2123-72E8-4CB8-ABCB-22FA643CFA4D}",2016,"2016-2018","SHIL","SHIL","CEGL007246",1.1,0.01900804609366,0,10,2.27053700040234,0
"{0E570ADF-85CD-46B1-918E-D6CAF823B068}",2016,"2016-2018","Maca","MACA","CEGL008442",0.882352941176471,1.49312040504543E-02,0,17,2.06416917071591,0
"{0EC9027B-86C6-4E5C-9CEC-069E031AD414}",2016,"2016-2018","NISI","NISI","CEGL008462",1,1.59046358172822E-02,0,5,1.34131279939453,0
"{0F48FF06-C0DA-4695-855D-9DF779C9189D}",2016,"2016-2018","STRI","STRI","CEGL007808",0.833333333333333,7.9526255173145E-03,0,6,2.84608659135937,0
"{0F953CEB-F7EA-4801-99CB-BB3D1D06C504}",2016,"2016-2018","NISI","NISI","CEGL008462",3.45454545454545,7.19810403232514E-02,1,12,3.96282460366406,1.66666666666667
"{1013A9FD-F7BD-4C9F-B410-FBCB7FE07E5B}",2016,"2016-2018","Liri","LIRI","CEGL008431",1.35,2.39808748476301E-02,0,20,2.7528205595625,0
"{1074D859-E1C5-4E9E-9CC2-E394F876C1E4}",2016,"2016-2018","COWP","COWP","CEGL007244",1.4,3.09160826403526E-02,0,10,1.29345259886719,0
"{11BBA951-78BF-4820-A399-D913947B338D}",2016,"2016-2018","COWP","COWP","CEGL007221",0.428571428571429,7.8939598837085E-03,3,22,3.36518568938672,2.72727272727273
"{1267D752-8047-407C-8860-AEA976DF974E}",2016,"2016-2018","MACA","MACA","CEGL007121",1.125,1.52890188434683E-02,0,16,3.19637417183437,0
"{127674C7-E28E-433E-ACC9-75E513A60442}",2016,"2016-2018","RUCA","RUCA","CEGL008442",0.142857142857143,-8.59454980242012E-05,1,7,2.29827137301563,2.85714285714286
"{16258A7F-175B-46A1-AE35-9DB7D2D7202B}",2016,"2016-2018","GUCO","GUCO","CEGL008475",2.4375,4.65710178337695E-02,0,16,4.03743742910156,0
"{167DBEB5-DA3E-40FD-94BB-1767BFEABB11}",2016,"2016-2018","Guco","GUCO","CEGL002591",1.46875,2.78833079336062E-02,2,32,4.70208062411719,1.25
"{17499588-9056-40A1-A1D4-6721DEA0F7C0}",2016,"2016-2018","MACA","MACA","CEGL007795",1.25,1.33514334308895E-02,0,8,2.85276247574062,0
"{18672263-C3E9-4BCA-AC37-D3049170290E}",2016,"2016-2018","CARL","CARL","CEGL006286",1.11111111111111,1.25800760312559E-02,0,9,3.18773479204688,0
"{195BCAD3-A6B0-4E9E-9E3B-F1AEFFFD04D1}",2016,"2016-2018","Maca","MACA","CEGL002411",1.375,1.47805738858904E-02,0,8,1.8405091939858,0
"{1ABB13ED-133A-43B9-8879-AFA3EF51CE71}",2016,"2016-2017","ABLI","BIRT","CEGL007220",2.16666666666667,1.80064513925027E-02,0,6,8.88628933483594,0
"{1AF80B35-EF9F-49D7-828A-17C837617936}",2016,"2016-2018","RUCA","RUCA","CEGL002070",2.1,3.73872813645229E-02,0,10,3.33843306447656,0
"{1C0ACA11-A5CB-4D02-A02E-E78628E6E6B3}",2016,"2016-2018","CUGA","CUGA","CEGL006271",1.26923076923077,3.75920432621987E-02,0,26,1.37714659055859,0
"{1C6DAB15-B6F6-4004-A9C0-484855269F61}",2016,"2016-2018","ABLI","KNOB","CEGL002070",2.2,4.72248343216365E-02,0,15,4.28827396725,0
"{1D557FDE-4C66-4B8C-9965-39C9301D969B}",2016,"2016-2018","Kimo","KIMO","CEGL007216",0.928571428571429,2.50621528668649E-02,2,14,2.08449581066016,2.85714285714286
