"SubunitCode","panel_init_year","panel_label","CEGL","event_ID","taxagroup","seeddens","sapldens"
"RUCA",2016,"2016-2018","CEGL008431","{04E57768-7CB0-4F67-AE1B-55927DFEFF1A}",3,1250,0
"CHIC",2011,"2011-2013","CEGL007699","{0576908D-D9AD-4CE5-8188-5EEFD28A037B}",5,48750,750
"CHIC",2011,"2011-2013","CEGL007699","{0576908D-D9AD-4CE5-8188-5EEFD28A037B}",1,3750,0
"CHIC",2011,"2011-2013","CEGL007699","{0576908D-D9AD-4CE5-8188-5EEFD28A037B}",2,12500,125
"CHIC",2011,"2011-2013","CEGL007699","{0576908D-D9AD-4CE5-8188-5EEFD28A037B}",3,25000,125
"CHIC",2011,"2011-2013","CEGL007699","{0576908D-D9AD-4CE5-8188-5EEFD28A037B}",4,15000,375
"STRI",2016,"2016-2018","CEGL007699","{05D29808-9FCC-4C6C-9954-A1E6B0CCE432}",5,2500,0
"STRI",2016,"2016-2018","CEGL007699","{05D29808-9FCC-4C6C-9954-A1E6B0CCE432}",1,6250,0
"STRI",2016,"2016-2018","CEGL007699","{05D29808-9FCC-4C6C-9954-A1E6B0CCE432}",2,2500,125
"STRI",2016,"2016-2018","CEGL007699","{05D29808-9FCC-4C6C-9954-A1E6B0CCE432}",3,32500,250
"STRI",2016,"2016-2018","CEGL007699","{05D29808-9FCC-4C6C-9954-A1E6B0CCE432}",4,0,250
"STRI",2011,"2011-2013","CEGL007699","{07AC476C-A1AC-4354-9AA3-F05CB7972C56}",5,0,500
"STRI",2011,"2011-2013","CEGL007699","{07AC476C-A1AC-4354-9AA3-F05CB7972C56}",1,1250,125
"STRI",2011,"2011-2013","CEGL007699","{07AC476C-A1AC-4354-9AA3-F05CB7972C56}",2,45000,875
"STRI",2011,"2011-2013","CEGL007699","{07AC476C-A1AC-4354-9AA3-F05CB7972C56}",3,18750,500
"STRI",2011,"2011-2013","CEGL007699","{07AC476C-A1AC-4354-9AA3-F05CB7972C56}",4,2500,625
"SHIL",2016,"2016-2018","CEGL007216","{086DF071-7B53-4AAC-B398-C78476AD8E48}",1,3750,0
"SHIL",2016,"2016-2018","CEGL007216","{086DF071-7B53-4AAC-B398-C78476AD8E48}",2,2500,125
"SHIL",2016,"2016-2018","CEGL007216","{086DF071-7B53-4AAC-B398-C78476AD8E48}",3,1250,0
"SHIL",2016,"2016-2018","CEGL007216","{086DF071-7B53-4AAC-B398-C78476AD8E48}",4,1250,375
"LOOK",2011,"2011-2014","CEGL007330","{08BCA74D-D44B-4F6D-9709-2050A237FAED}",1,2500,125
"LOOK",2011,"2011-2014","CEGL007330","{08BCA74D-D44B-4F6D-9709-2050A237FAED}",2,3750,0
"LOOK",2011,"2011-2014","CEGL007330","{08BCA74D-D44B-4F6D-9709-2050A237FAED}",3,0,750
"LOOK",2011,"2011-2014","CEGL007330","{08BCA74D-D44B-4F6D-9709-2050A237FAED}",4,3750,500
"RUCA",2011,"2011-2013","CEGL008442","{08F90BCE-DF83-4796-9DA9-4023E30C8594}",5,3750,1000
"RUCA",2011,"2011-2013","CEGL008442","{08F90BCE-DF83-4796-9DA9-4023E30C8594}",1,5000,0
"RUCA",2011,"2011-2013","CEGL008442","{08F90BCE-DF83-4796-9DA9-4023E30C8594}",2,36250,1250
"RUCA",2011,"2011-2013","CEGL008442","{08F90BCE-DF83-4796-9DA9-4023E30C8594}",3,5000,0
"STRI",2016,"2016-2018","CEGL003938","{095EC630-E05E-4FA4-B1AB-7C3FC9701FF2}",5,2500,250
"STRI",2016,"2016-2018","CEGL003938","{095EC630-E05E-4FA4-B1AB-7C3FC9701FF2}",2,0,250
"STRI",2016,"2016-2018","CEGL003938","{095EC630-E05E-4FA4-B1AB-7C3FC9701FF2}",3,2500,250
"STRI",2016,"2016-2018","CEGL003938","{095EC630-E05E-4FA4-B1AB-7C3FC9701FF2}",4,1250,250
"RUCA",2016,"2016-2018","CEGL007268","{0ADF7F39-A9EA-4F89-8A34-F50E268CD1D0}",5,5000,0
"RUCA",2016,"2016-2018","CEGL007268","{0ADF7F39-A9EA-4F89-8A34-F50E268CD1D0}",1,13750,0
"RUCA",2016,"2016-2018","CEGL007268","{0ADF7F39-A9EA-4F89-8A34-F50E268CD1D0}",2,17500,125
"RUCA",2016,"2016-2018","CEGL007268","{0ADF7F39-A9EA-4F89-8A34-F50E268CD1D0}",4,3750,125
"CARL",2011,"2011-2013","CEGL006271","{0B298B64-2215-43E5-A2ED-19DB82DE9DA8}",1,5000,500
"CARL",2011,"2011-2013","CEGL006271","{0B298B64-2215-43E5-A2ED-19DB82DE9DA8}",2,16250,250
"CARL",2011,"2011-2013","CEGL006271","{0B298B64-2215-43E5-A2ED-19DB82DE9DA8}",4,0,750
"STRI",2016,"2016-2018","CEGL007124","{0BE7EBED-E888-4AFB-9A6E-41DEF0590C81}",2,5000,375
"STRI",2016,"2016-2018","CEGL007124","{0BE7EBED-E888-4AFB-9A6E-41DEF0590C81}",3,10000,0
"STRI",2016,"2016-2018","CEGL007124","{0BE7EBED-E888-4AFB-9A6E-41DEF0590C81}",4,3750,125
"LIRI",2011,"2011-2013","CEGL008431","{0C0CA7DC-3126-4C49-A1D3-CE2289981F3B}",1,5000,625
"LIRI",2011,"2011-2013","CEGL008431","{0C0CA7DC-3126-4C49-A1D3-CE2289981F3B}",4,1250,0
"MACA",2011,"2011-2013","CEGL008442","{0C4B5792-083B-4C7A-BEC4-2F102803BCDD}",5,0,125
"MACA",2011,"2011-2013","CEGL008442","{0C4B5792-083B-4C7A-BEC4-2F102803BCDD}",1,2500,0
"MACA",2011,"2011-2013","CEGL008442","{0C4B5792-083B-4C7A-BEC4-2F102803BCDD}",2,2500,375
"MACA",2011,"2011-2013","CEGL008442","{0C4B5792-083B-4C7A-BEC4-2F102803BCDD}",3,1250,0
"MACA",2011,"2011-2013","CEGL008442","{0C4B5792-083B-4C7A-BEC4-2F102803BCDD}",4,10000,0
"LIRI",2011,"2011-2013","CEGL007500","{0C8AB79A-6B7C-4AA5-AA26-B88214D150F2}",5,3750,1625
"LIRI",2011,"2011-2013","CEGL007500","{0C8AB79A-6B7C-4AA5-AA26-B88214D150F2}",1,8750,2625
"LIRI",2011,"2011-2013","CEGL007500","{0C8AB79A-6B7C-4AA5-AA26-B88214D150F2}",2,17500,5875
"LIRI",2011,"2011-2013","CEGL007500","{0C8AB79A-6B7C-4AA5-AA26-B88214D150F2}",3,0,875
"LIRI",2011,"2011-2013","CEGL007500","{0C8AB79A-6B7C-4AA5-AA26-B88214D150F2}",4,2500,125
"CHIC",2011,"2011-2013","CEGL007247","{0CBE8039-50EB-4D03-A463-136E6239F199}",5,98750,125
"CHIC",2011,"2011-2013","CEGL007247","{0CBE8039-50EB-4D03-A463-136E6239F199}",1,8750,375
"CHIC",2011,"2011-2013","CEGL007247","{0CBE8039-50EB-4D03-A463-136E6239F199}",2,12500,0
"CHIC",2011,"2011-2013","CEGL007247","{0CBE8039-50EB-4D03-A463-136E6239F199}",3,68750,125
"CHIC",2011,"2011-2013","CEGL007247","{0CBE8039-50EB-4D03-A463-136E6239F199}",4,13750,375
"MACA",2011,"2011-2013","CEGL005018","{0CEDDF2D-AD17-4E49-B55B-87F208A8AEAD}",5,1250,0
"MACA",2011,"2011-2013","CEGL005018","{0CEDDF2D-AD17-4E49-B55B-87F208A8AEAD}",1,22500,500
"MACA",2011,"2011-2013","CEGL005018","{0CEDDF2D-AD17-4E49-B55B-87F208A8AEAD}",2,111250,2000
"MACA",2011,"2011-2013","CEGL005018","{0CEDDF2D-AD17-4E49-B55B-87F208A8AEAD}",3,1250,0
"MACA",2011,"2011-2013","CEGL005018","{0CEDDF2D-AD17-4E49-B55B-87F208A8AEAD}",4,15000,0
"KNOB",2011,"2011-2013","CEGL002411","{0D1F00B9-6A4D-4D85-AFDB-9B248E609C18}",5,7500,0
"KNOB",2011,"2011-2013","CEGL002411","{0D1F00B9-6A4D-4D85-AFDB-9B248E609C18}",1,5000,0
"KNOB",2011,"2011-2013","CEGL002411","{0D1F00B9-6A4D-4D85-AFDB-9B248E609C18}",2,16250,1250
"KNOB",2011,"2011-2013","CEGL002411","{0D1F00B9-6A4D-4D85-AFDB-9B248E609C18}",4,1250,0
"LOOK",2016,"2016-2018","CEGL007700","{0D2FF3F3-554B-486D-8EBE-B5AE69367154}",5,1250,250
"LOOK",2016,"2016-2018","CEGL007700","{0D2FF3F3-554B-486D-8EBE-B5AE69367154}",1,5000,0
"LOOK",2016,"2016-2018","CEGL007700","{0D2FF3F3-554B-486D-8EBE-B5AE69367154}",2,22500,750
"LOOK",2016,"2016-2018","CEGL007700","{0D2FF3F3-554B-486D-8EBE-B5AE69367154}",3,0,625
"LOOK",2016,"2016-2018","CEGL007700","{0D2FF3F3-554B-486D-8EBE-B5AE69367154}",4,1250,0
"SHIL",2016,"2016-2018","CEGL007246","{0E0A2123-72E8-4CB8-ABCB-22FA643CFA4D}",1,18750,0
"SHIL",2016,"2016-2018","CEGL007246","{0E0A2123-72E8-4CB8-ABCB-22FA643CFA4D}",2,3750,375
"SHIL",2016,"2016-2018","CEGL007246","{0E0A2123-72E8-4CB8-ABCB-22FA643CFA4D}",3,1250,125
"SHIL",2016,"2016-2018","CEGL007246","{0E0A2123-72E8-4CB8-ABCB-22FA643CFA4D}",4,1250,125
"MACA",2016,"2016-2018","CEGL008442","{0E570ADF-85CD-46B1-918E-D6CAF823B068}",5,17500,500
"MACA",2016,"2016-2018","CEGL008442","{0E570ADF-85CD-46B1-918E-D6CAF823B068}",1,6250,0
"MACA",2016,"2016-2018","CEGL008442","{0E570ADF-85CD-46B1-918E-D6CAF823B068}",2,16250,1125
"MACA",2016,"2016-2018","CEGL008442","{0E570ADF-85CD-46B1-918E-D6CAF823B068}",3,8750,1750
"MACA",2016,"2016-2018","CEGL008442","{0E570ADF-85CD-46B1-918E-D6CAF823B068}",4,8750,250
"NISI",2016,"2016-2018","CEGL008462","{0EC9027B-86C6-4E5C-9CEC-069E031AD414}",5,11250,250
"NISI",2016,"2016-2018","CEGL008462","{0EC9027B-86C6-4E5C-9CEC-069E031AD414}",1,3750,125
"NISI",2016,"2016-2018","CEGL008462","{0EC9027B-86C6-4E5C-9CEC-069E031AD414}",2,2500,0
"NISI",2016,"2016-2018","CEGL008462","{0EC9027B-86C6-4E5C-9CEC-069E031AD414}",3,8750,375
"NISI",2016,"2016-2018","CEGL008462","{0EC9027B-86C6-4E5C-9CEC-069E031AD414}",4,8750,250
"STRI",2016,"2016-2018","CEGL007808","{0F48FF06-C0DA-4695-855D-9DF779C9189D}",5,3750,0
"STRI",2016,"2016-2018","CEGL007808","{0F48FF06-C0DA-4695-855D-9DF779C9189D}",1,11250,125
"STRI",2016,"2016-2018","CEGL007808","{0F48FF06-C0DA-4695-855D-9DF779C9189D}",3,63750,0
"STRI",2016,"2016-2018","CEGL007808","{0F48FF06-C0DA-4695-855D-9DF779C9189D}",4,21250,250
"MACA",2011,"2011-2013","CEGL004133","{0F6AEE52-9730-4D64-8ADC-AA7B20DAF428}",1,10000,0
"MACA",2011,"2011-2013","CEGL004133","{0F6AEE52-9730-4D64-8ADC-AA7B20DAF428}",2,30000,250
"MACA",2011,"2011-2013","CEGL004133","{0F6AEE52-9730-4D64-8ADC-AA7B20DAF428}",3,22500,0
"NISI",2016,"2016-2018","CEGL008462","{0F953CEB-F7EA-4801-99CB-BB3D1D06C504}",1,2500,250
"NISI",2016,"2016-2018","CEGL008462","{0F953CEB-F7EA-4801-99CB-BB3D1D06C504}",2,5000,0
"NISI",2016,"2016-2018","CEGL008462","{0F953CEB-F7EA-4801-99CB-BB3D1D06C504}",3,7500,125
"NISI",2016,"2016-2018","CEGL008462","{0F953CEB-F7EA-4801-99CB-BB3D1D06C504}",4,3750,750
"LIRI",2016,"2016-2018","CEGL008431","{1013A9FD-F7BD-4C9F-B410-FBCB7FE07E5B}",5,6250,0
"LIRI",2016,"2016-2018","CEGL008431","{1013A9FD-F7BD-4C9F-B410-FBCB7FE07E5B}",1,17500,125
"LIRI",2016,"2016-2018","CEGL008431","{1013A9FD-F7BD-4C9F-B410-FBCB7FE07E5B}",2,23750,375
"COWP",2016,"2016-2018","CEGL007244","{1074D859-E1C5-4E9E-9CC2-E394F876C1E4}",5,1250,0
"COWP",2016,"2016-2018","CEGL007244","{1074D859-E1C5-4E9E-9CC2-E394F876C1E4}",1,1250,500
"COWP",2016,"2016-2018","CEGL007244","{1074D859-E1C5-4E9E-9CC2-E394F876C1E4}",2,1250,125
"COWP",2016,"2016-2018","CEGL007244","{1074D859-E1C5-4E9E-9CC2-E394F876C1E4}",3,7500,125
"KIMO",2011,"2011-2013","CEGL006281","{11635730-D27A-455E-8435-421FF92C89C3}",1,28750,125
"KIMO",2011,"2011-2013","CEGL006281","{11635730-D27A-455E-8435-421FF92C89C3}",2,21250,2375
"KIMO",2011,"2011-2013","CEGL006281","{11635730-D27A-455E-8435-421FF92C89C3}",3,3750,375
"KIMO",2011,"2011-2013","CEGL006281","{11635730-D27A-455E-8435-421FF92C89C3}",4,2500,125
"COWP",2016,"2016-2018","CEGL007221","{11BBA951-78BF-4820-A399-D913947B338D}",1,0,1000
"COWP",2016,"2016-2018","CEGL007221","{11BBA951-78BF-4820-A399-D913947B338D}",2,11250,125
"COWP",2016,"2016-2018","CEGL007221","{11BBA951-78BF-4820-A399-D913947B338D}",4,10000,375
"COWP",2011,"2011-2013","CEGL007244","{11CB3732-7FF0-4C3C-9130-20C54CF661CD}",5,1250,0
"COWP",2011,"2011-2013","CEGL007244","{11CB3732-7FF0-4C3C-9130-20C54CF661CD}",1,1250,0
"COWP",2011,"2011-2013","CEGL007244","{11CB3732-7FF0-4C3C-9130-20C54CF661CD}",2,2500,125
"COWP",2011,"2011-2013","CEGL007244","{11CB3732-7FF0-4C3C-9130-20C54CF661CD}",3,7500,0
"SHIL",2011,"2011-2013","CEGL007246","{11E072D1-F28F-4309-9108-BAF189A124DB}",5,11250,250
"SHIL",2011,"2011-2013","CEGL007246","{11E072D1-F28F-4309-9108-BAF189A124DB}",1,15000,875
"SHIL",2011,"2011-2013","CEGL007246","{11E072D1-F28F-4309-9108-BAF189A124DB}",2,7500,0
"SHIL",2011,"2011-2013","CEGL007246","{11E072D1-F28F-4309-9108-BAF189A124DB}",3,3750,0
"SHIL",2011,"2011-2013","CEGL007246","{11E072D1-F28F-4309-9108-BAF189A124DB}",4,10000,0
"LIRI",2011,"2011-2013","CEGL007493","{1221D7DB-8E36-436E-81E1-2C7CBBDFDE56}",5,0,125
"LIRI",2011,"2011-2013","CEGL007493","{1221D7DB-8E36-436E-81E1-2C7CBBDFDE56}",1,7500,625
"LIRI",2011,"2011-2013","CEGL007493","{1221D7DB-8E36-436E-81E1-2C7CBBDFDE56}",2,8750,2250
"LIRI",2011,"2011-2013","CEGL007493","{1221D7DB-8E36-436E-81E1-2C7CBBDFDE56}",3,0,125
"CUGA",2011,"2011-2013","CEGL006271","{1252E3EF-C9BF-4D20-9ED4-D36B5BF1ED04}",5,10000,750
"CUGA",2011,"2011-2013","CEGL006271","{1252E3EF-C9BF-4D20-9ED4-D36B5BF1ED04}",1,10000,0
"CUGA",2011,"2011-2013","CEGL006271","{1252E3EF-C9BF-4D20-9ED4-D36B5BF1ED04}",2,35000,125
"CUGA",2011,"2011-2013","CEGL006271","{1252E3EF-C9BF-4D20-9ED4-D36B5BF1ED04}",3,0,375
"MACA",2016,"2016-2018","CEGL007121","{1267D752-8047-407C-8860-AEA976DF974E}",5,0,250
"MACA",2016,"2016-2018","CEGL007121","{1267D752-8047-407C-8860-AEA976DF974E}",1,17500,500
"MACA",2016,"2016-2018","CEGL007121","{1267D752-8047-407C-8860-AEA976DF974E}",2,20000,2000
"MACA",2016,"2016-2018","CEGL007121","{1267D752-8047-407C-8860-AEA976DF974E}",3,15000,500
"MACA",2016,"2016-2018","CEGL007121","{1267D752-8047-407C-8860-AEA976DF974E}",4,20000,1375
"RUCA",2016,"2016-2018","CEGL008442","{127674C7-E28E-433E-ACC9-75E513A60442}",5,10000,125
"RUCA",2016,"2016-2018","CEGL008442","{127674C7-E28E-433E-ACC9-75E513A60442}",1,7500,0
"RUCA",2016,"2016-2018","CEGL008442","{127674C7-E28E-433E-ACC9-75E513A60442}",2,26250,2000
"RUCA",2016,"2016-2018","CEGL008442","{127674C7-E28E-433E-ACC9-75E513A60442}",4,0,125
"CARL",2011,"2011-2013","CEGL006286","{12B27D36-0D0D-405D-BCCC-B513AD4A2EBE}",5,0,125
"CARL",2011,"2011-2013","CEGL006286","{12B27D36-0D0D-405D-BCCC-B513AD4A2EBE}",2,0,250
"CARL",2011,"2011-2013","CEGL006286","{12B27D36-0D0D-405D-BCCC-B513AD4A2EBE}",3,1250,125
"CARL",2011,"2011-2013","CEGL006286","{12B27D36-0D0D-405D-BCCC-B513AD4A2EBE}",4,0,250
"COWP",2011,"2011-2013","CEGL007216","{13A88573-4AF9-4081-BBCC-72DADE1767E9}",1,5000,125
"COWP",2011,"2011-2013","CEGL007216","{13A88573-4AF9-4081-BBCC-72DADE1767E9}",3,1250,0
"COWP",2011,"2011-2013","CEGL007216","{13A88573-4AF9-4081-BBCC-72DADE1767E9}",4,3750,625
"NISI",2011,"2011-2013","CEGL004638","{1452354A-0AE1-4C6F-AB61-574104701A4E}",5,1250,375
"NISI",2011,"2011-2013","CEGL004638","{1452354A-0AE1-4C6F-AB61-574104701A4E}",1,33750,125
"NISI",2011,"2011-2013","CEGL004638","{1452354A-0AE1-4C6F-AB61-574104701A4E}",2,2500,0
"NISI",2011,"2011-2013","CEGL004638","{1452354A-0AE1-4C6F-AB61-574104701A4E}",3,1250,0
"CHIC",2011,"2011-2013","CEGL007808","{14E61B03-1A50-4FC7-8C96-C3642FBFE7C0}",1,2500,125
"CHIC",2011,"2011-2013","CEGL007808","{14E61B03-1A50-4FC7-8C96-C3642FBFE7C0}",2,26250,125
"CHIC",2011,"2011-2013","CEGL007808","{14E61B03-1A50-4FC7-8C96-C3642FBFE7C0}",3,3750,125
"CHIC",2011,"2011-2013","CEGL007808","{14E61B03-1A50-4FC7-8C96-C3642FBFE7C0}",4,1250,250
"GUCO",2016,"2016-2018","CEGL008475","{16258A7F-175B-46A1-AE35-9DB7D2D7202B}",1,3750,0
"GUCO",2016,"2016-2018","CEGL008475","{16258A7F-175B-46A1-AE35-9DB7D2D7202B}",2,3750,250
"GUCO",2016,"2016-2018","CEGL008475","{16258A7F-175B-46A1-AE35-9DB7D2D7202B}",0,11250,0
"GUCO",2016,"2016-2018","CEGL008475","{16258A7F-175B-46A1-AE35-9DB7D2D7202B}",4,0,375
"KNOB",2011,"2011-2013","CEGL002070","{1674C624-C4C2-401A-B879-7E3987B590DC}",5,12500,375
"KNOB",2011,"2011-2013","CEGL002070","{1674C624-C4C2-401A-B879-7E3987B590DC}",1,13750,1000
"KNOB",2011,"2011-2013","CEGL002070","{1674C624-C4C2-401A-B879-7E3987B590DC}",2,12500,1375
"KNOB",2011,"2011-2013","CEGL002070","{1674C624-C4C2-401A-B879-7E3987B590DC}",3,3750,125
"KNOB",2011,"2011-2013","CEGL002070","{1674C624-C4C2-401A-B879-7E3987B590DC}",4,2500,250
"GUCO",2016,"2016-2018","CEGL002591","{167DBEB5-DA3E-40FD-94BB-1767BFEABB11}",5,0,500
"GUCO",2016,"2016-2018","CEGL002591","{167DBEB5-DA3E-40FD-94BB-1767BFEABB11}",1,3750,125
"GUCO",2016,"2016-2018","CEGL002591","{167DBEB5-DA3E-40FD-94BB-1767BFEABB11}",2,21250,250
"GUCO",2016,"2016-2018","CEGL002591","{167DBEB5-DA3E-40FD-94BB-1767BFEABB11}",3,0,250
"GUCO",2016,"2016-2018","CEGL002591","{167DBEB5-DA3E-40FD-94BB-1767BFEABB11}",4,2500,250
"MACA",2016,"2016-2018","CEGL007795","{17499588-9056-40A1-A1D4-6721DEA0F7C0}",5,7500,500
"MACA",2016,"2016-2018","CEGL007795","{17499588-9056-40A1-A1D4-6721DEA0F7C0}",1,8750,0
"MACA",2016,"2016-2018","CEGL007795","{17499588-9056-40A1-A1D4-6721DEA0F7C0}",2,88750,500
"MACA",2016,"2016-2018","CEGL007795","{17499588-9056-40A1-A1D4-6721DEA0F7C0}",3,3750,125
"MACA",2016,"2016-2018","CEGL007795","{17499588-9056-40A1-A1D4-6721DEA0F7C0}",4,6250,0
"KIMO",2011,"2011-2013","CEGL008475","{178E4891-23ED-42CE-A46D-F0A0388BF25F}",5,2500,0
"KIMO",2011,"2011-2013","CEGL008475","{178E4891-23ED-42CE-A46D-F0A0388BF25F}",1,127500,0
"KIMO",2011,"2011-2013","CEGL008475","{178E4891-23ED-42CE-A46D-F0A0388BF25F}",2,22500,125
"KIMO",2011,"2011-2013","CEGL008475","{178E4891-23ED-42CE-A46D-F0A0388BF25F}",3,2500,0
"KIMO",2011,"2011-2013","CEGL008475","{178E4891-23ED-42CE-A46D-F0A0388BF25F}",4,2500,0
"KIMO",2011,"2011-2013","CEGL008431","{18097CDD-317C-4849-AEC4-3F106D56C816}",1,3750,0
"KIMO",2011,"2011-2013","CEGL008431","{18097CDD-317C-4849-AEC4-3F106D56C816}",2,0,125
"KIMO",2011,"2011-2013","CEGL008431","{18097CDD-317C-4849-AEC4-3F106D56C816}",3,1250,625
"CUGA",2011,"2011-2013","CEGL007240","{1902E728-86BD-4A84-9AA8-89F328C08467}",5,15000,1125
"CUGA",2011,"2011-2013","CEGL007240","{1902E728-86BD-4A84-9AA8-89F328C08467}",1,11250,250
"CUGA",2011,"2011-2013","CEGL007240","{1902E728-86BD-4A84-9AA8-89F328C08467}",2,43750,875
"CUGA",2011,"2011-2013","CEGL007240","{1902E728-86BD-4A84-9AA8-89F328C08467}",3,1250,0
